"","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000141574",5.3597076762021,-0.945679050829994,-1.09984281952492,0.291304857356526,0.713285547706312
"ENSG00000181396",5.00403666943535,0.250390980247131,0.342274855762774,0.737601737034715,0.925086215204449
"ENSG00000169660",4.89433569911684,-0.678667700930029,-0.941047632483436,0.363799635156797,0.764610652200408
"ENSG00000178927",6.6486887885699,-0.814192772470095,-1.24512558643536,0.235012288316176,0.66599159975372
"ENSG00000141562",5.62444732629913,-0.200621548888859,-0.319180792204839,0.754648412924905,0.932366287023141
"ENSG00000141568",4.77539702251984,0.0104317520119679,0.0141431542567807,0.988930022519159,0.996024085373472
"ENSG00000141580",6.28372910633181,0.0146449972068297,0.0246006046993184,0.98074627932144,0.993782621500782
"ENSG00000141542",3.01149033398776,0.239947550681059,0.238669501323373,0.815074292291495,0.949035998661356
"ENSG00000141560",5.17885334040211,-0.330335996536792,-0.507083304758078,0.620568663835398,0.884323429487278
"ENSG00000167363",4.30623537391928,-0.651784230310807,-0.85140278609686,0.409919695589312,0.786925611934609
"ENSG00000141556",5.44474416440925,0.499828349528655,0.792144291032558,0.442459331706448,0.808835584879955
"ENSG00000176845",4.37139611837704,-0.587967193006129,-0.541068552370358,0.59758911389431,0.875548939635142
