"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000202183",0,NA,NA,NA,NA,NA
"ENSG00000202182",0,NA,NA,NA,NA,NA
"ENSG00000239223",0,NA,NA,NA,NA,NA
"ENSG00000202187",0,NA,NA,NA,NA,NA
"ENSG00000202186",0,NA,NA,NA,NA,NA
"ENSG00000103932",12.7492069170736,-1.28072508503844,0.973088095481826,-1.31614505509317,0.188125361181801,0.813596767957238
"ENSG00000249316",0,NA,NA,NA,NA,NA
"ENSG00000239228",0,NA,NA,NA,NA,NA
"ENSG00000202189",0,NA,NA,NA,NA,NA
"ENSG00000202188",0,NA,NA,NA,NA,NA
"ENSG00000171314",156.090618215927,0.90103921884977,0.671290669863554,1.34224898289278,0.179515279097397,0.797718233489961
"ENSG00000130165",41.4802539488652,0.83499380691521,0.777456954853017,1.07400647933373,0.282819777562786,0.936721256932165
"ENSG00000203858",0,NA,NA,NA,NA,NA
"ENSG00000130164",14.2875176655421,0.591517076972335,0.980145783865118,0.603499078106258,0.546176728624918,0.999615162048388
"ENSG00000203857",159.125364941805,0.465973269120498,0.892099058642629,0.522333550973026,0.601438112890297,0.999615162048388
"ENSG00000203855",6.18473285165931,2.3732313600629,1.12375851325947,2.111869527181,0.0346976417454121,0.331062062909636
"ENSG00000203852",0,NA,NA,NA,NA,NA
"ENSG00000234232",0.206267474672764,0.439805192510662,0.777522609469877,0.565649393540499,0.571632143403606,NA
"ENSG00000258866",0,NA,NA,NA,NA,NA
"ENSG00000226570",0,NA,NA,NA,NA,NA
"ENSG00000124701",0,NA,NA,NA,NA,NA
"ENSG00000182885",1.31224844105994,-0.108882817411934,0.972387085417185,-0.11197476709105,0.910843413669528,NA
"ENSG00000234234",0,NA,NA,NA,NA,NA
"ENSG00000187003",0,NA,NA,NA,NA,NA
"ENSG00000180953",0.618802424018293,0.571347906863857,0.84469252845027,0.676397490945127,0.49878830984092,NA
"ENSG00000180957",37.7097017408132,0.380473830971202,0.782244104763753,0.486387597751356,0.626692382166711,0.999615162048388
"ENSG00000185359",49.2044574091781,0.801519081114067,0.751177323909029,1.0670171417623,0.285964095391377,0.939800090866173
"ENSG00000185352",0,NA,NA,NA,NA,NA
"ENSG00000258199",4.79293944240084,0.276480244607566,1.10773660548984,0.249590239446232,0.802904247539923,0.999615162048388
"ENSG00000203588",0.5,-0.550248084099874,0.8341187834618,-0.659675929867216,0.509461816332009,NA
"ENSG00000249319",0,NA,NA,NA,NA,NA
"ENSG00000072849",57.3656193455047,0.990342399918353,0.733983845662015,1.34927002245549,0.177250250721923,0.794421281252068
"ENSG00000228638",1.68105086507823,0.40558956078766,1.06102325024898,0.382262651353289,0.702266554781481,NA
"ENSG00000203581",0,NA,NA,NA,NA,NA
"ENSG00000249318",0,NA,NA,NA,NA,NA
"ENSG00000203585",0,NA,NA,NA,NA,NA
"ENSG00000072840",13.6870180044227,0.459597677143056,1.06021326458919,0.433495498022411,0.664654836000286,0.999615162048388
"ENSG00000205865",0,NA,NA,NA,NA,NA
"ENSG00000233437",0,NA,NA,NA,NA,NA
"ENSG00000205867",0,NA,NA,NA,NA,NA
"ENSG00000147443",26.0309944169039,0.329809897640217,0.97831823039,0.337119239318213,0.736027014606131,0.999615162048388
"ENSG00000274340",0,NA,NA,NA,NA,NA
"ENSG00000205863",0.5,-0.550248084099874,0.8341187834618,-0.659675929867216,0.509461816332009,NA
"ENSG00000236404",7.62349064635962,-0.207653953281909,1.10602480974257,-0.187748006602349,0.851074195549154,0.999615162048388
"ENSG00000226829",0,NA,NA,NA,NA,NA
"ENSG00000205869",0,NA,NA,NA,NA,NA
"ENSG00000233435",0.206267474672764,0.439805192510662,0.777522609469877,0.565649393540499,0.571632143403606,NA
"ENSG00000239332",2.43105086507823,-0.0361204997484521,1.11897197208327,-0.0322800755064525,0.974248698366268,NA
"ENSG00000236505",0,NA,NA,NA,NA,NA
"ENSG00000233433",0,NA,NA,NA,NA,NA
"ENSG00000236400",0,NA,NA,NA,NA,NA
"ENSG00000229416",0,NA,NA,NA,NA,NA
"ENSG00000229417",0,NA,NA,NA,NA,NA
"ENSG00000229414",0,NA,NA,NA,NA,NA
"ENSG00000229415",0,NA,NA,NA,NA,NA
"ENSG00000279082",0,NA,NA,NA,NA,NA
"ENSG00000238178",0,NA,NA,NA,NA,NA
"ENSG00000236500",0,NA,NA,NA,NA,NA
"ENSG00000233430",0,NA,NA,NA,NA,NA
"ENSG00000238173",0,NA,NA,NA,NA,NA
"ENSG00000238172",0,NA,NA,NA,NA,NA
"ENSG00000229418",0,NA,NA,NA,NA,NA
"ENSG00000226823",0,NA,NA,NA,NA,NA
"ENSG00000261070",0,NA,NA,NA,NA,NA
"ENSG00000261071",1.36880242401829,-0.0653787922895061,0.982875758752621,-0.0665178601743918,0.946965538836794,NA
"ENSG00000213352",0,NA,NA,NA,NA,NA
"ENSG00000226820",0,NA,NA,NA,NA,NA
"ENSG00000261076",0,NA,NA,NA,NA,NA
"ENSG00000261077",0,NA,NA,NA,NA,NA
"ENSG00000213358",0,NA,NA,NA,NA,NA
"ENSG00000261079",0.5,-0.550248084099874,0.8341187834618,-0.659675929867216,0.509461816332009,NA
"ENSG00000239335",0,NA,NA,NA,NA,NA
"ENSG00000109832",0.843372661589906,0.595942862809172,0.85491303360416,0.697080099828147,0.485752667302669,NA
"ENSG00000235902",0,NA,NA,NA,NA,NA
"ENSG00000279088",10.6678626301884,0.0344118772289881,0.994466995339332,0.0346033376575219,0.972396040029483,0.999615162048388
"ENSG00000231977",0,NA,NA,NA,NA,NA
"ENSG00000279089",0.843372661589906,0.595942862809172,0.85491303360416,0.697080099828147,0.485752667302669,NA
"ENSG00000241416",0,NA,NA,NA,NA,NA
"ENSG00000276807",0,NA,NA,NA,NA,NA
"ENSG00000214794",0,NA,NA,NA,NA,NA
"ENSG00000227959",0,NA,NA,NA,NA,NA
"ENSG00000251249",0,NA,NA,NA,NA,NA
"ENSG00000251244",0,NA,NA,NA,NA,NA
"ENSG00000227954",0,NA,NA,NA,NA,NA
"ENSG00000203326",0.25,-0.464285371996484,0.789466019549636,-0.588100514144159,0.55646482805362,NA
"ENSG00000251247",1.86880242401829,-0.300411346696895,1.03820649552018,-0.289356065477491,0.772308912242873,NA
"ENSG00000227950",0,NA,NA,NA,NA,NA
"ENSG00000227953",2.81124220529969,1.4771941540938,1.07551337821912,1.3734781770356,0.1696037409403,NA
"ENSG00000227952",0,NA,NA,NA,NA,NA
"ENSG00000143776",38.7124477668511,-1.53872148091262,0.864258380670564,-1.78039520972739,0.0750113051770142,0.524576267154114
"ENSG00000143774",293.373014073838,1.23936935375141,0.699616840615042,1.77149731367511,0.0764780390019611,0.530977311273737
